STT,Biệt dược,SĐK,Hoạt chất,Chỉ định nguồn,Thuật ngữ gợi ý,Mã ICD-10,Tên ICD-10 chính thức,Cảnh báo mã
6,Acyclovir 3%,893110161724,Aciclovir,Viêm giác mạc do Herpes simplex,Viêm giác mạc do Herpes simplex,B00.5,Bệnh mắt do nhiễm virus herpes [herpes simplex],
6,Acyclovir 3%,893110161724,Aciclovir,Viêm giác mạc do Herpes simplex,Viêm giác mạc,H16.9,"Viêm giác mạc, không xác định",
7,Ad - Liver,VD-31287-18,Cao diệp hạ châu + nhân trần + cỏ nhọ nồi,"Hỗ trợ điều trị rối loạn chức năng gan, tăng men gan hoặc triệu chứng liên quan theo y học cổ truyền; không thay thế điều trị nguyên nhân",Bất thường chức năng gan,R94.5,Kết quả bất thường của thăm dò chức năng gan,
8,Adrenalin,893110172024,Epinephrin (adrenalin),Phản vệ; ngừng tim; co thắt phế quản nặng; sốc kháng trị và một số chỉ định gây mê,Ngừng tim,I46.9,"Ngưng tim, không xác định",
8,Adrenalin,893110172024,Epinephrin (adrenalin),Phản vệ; ngừng tim; co thắt phế quản nặng; sốc kháng trị và một số chỉ định gây mê,"Sốc, không xác định",R57.9,"Sốc, không xác định",
8,Adrenalin,893110172024,Epinephrin (adrenalin),Phản vệ; ngừng tim; co thắt phế quản nặng; sốc kháng trị và một số chỉ định gây mê,Phản vệ,T78.2,"Sốc phản vệ, không xác định",
8,Adrenalin,893110172024,Epinephrin (adrenalin),Phản vệ; ngừng tim; co thắt phế quản nặng; sốc kháng trị và một số chỉ định gây mê,Chăm sóc liên quan gây tê/gây mê/thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
9,Agilecox 200,VD-25523-16,Celecoxib,"Điều trị triệu chứng thoái hóa khớp, viêm khớp dạng thấp, viêm cột sống dính khớp | đau cấp và thống kinh",Đau,R52.9,"Đau, không xác định",
9,Agilecox 200,VD-25523-16,Celecoxib,"Điều trị triệu chứng thoái hóa khớp, viêm khớp dạng thấp, viêm cột sống dính khớp | đau cấp và thống kinh",Thoái hóa khớp,M19.9,"Thoái hóa khớp, không xác định",Có mã 4/5 ký tự cụ thể hơn
9,Agilecox 200,VD-25523-16,Celecoxib,"Điều trị triệu chứng thoái hóa khớp, viêm khớp dạng thấp, viêm cột sống dính khớp | đau cấp và thống kinh",Viêm khớp dạng thấp,M06.9,"Viêm khớp dạng thấp, không xác định",Có mã 4/5 ký tự cụ thể hơn
9,Agilecox 200,VD-25523-16,Celecoxib,"Điều trị triệu chứng thoái hóa khớp, viêm khớp dạng thấp, viêm cột sống dính khớp | đau cấp và thống kinh",Viêm cột sống dính khớp,M45.9,"Viêm đốt sống dính khớp, vị trí không xác định",
9,Agilecox 200,VD-25523-16,Celecoxib,"Điều trị triệu chứng thoái hóa khớp, viêm khớp dạng thấp, viêm cột sống dính khớp | đau cấp và thống kinh",Thống kinh,N94.6,"Đau bụng kinh, không xác định",Mã chỉ/chủ yếu ở nữ
10,Đại tràng - HD,VD-27232-17,Bạch thược + bạch truật + cam thảo + hoàng liên + kha tử + mộc hương,"Điều trị/hỗ trợ triệu chứng viêm đại tràng mạn, đau bụng, đầy hơi, rối loạn đại tiện theo y học cổ truyền",Viêm đại tràng,K52.9,"Viêm dạ dày - ruột và/hoặc viêm đại tràng không do nhiễm trùng, không xác định",
10,Đại tràng - HD,VD-27232-17,Bạch thược + bạch truật + cam thảo + hoàng liên + kha tử + mộc hương,"Điều trị/hỗ trợ triệu chứng viêm đại tràng mạn, đau bụng, đầy hơi, rối loạn đại tiện theo y học cổ truyền",Đau bụng,R10.4,Đau bụng khác và/hoặc không xác định,
10,Đại tràng - HD,VD-27232-17,Bạch thược + bạch truật + cam thảo + hoàng liên + kha tử + mộc hương,"Điều trị/hỗ trợ triệu chứng viêm đại tràng mạn, đau bụng, đầy hơi, rối loạn đại tiện theo y học cổ truyền",Đầy hơi/chướng bụng,R14,Đầy hơi và/hoặc tình trạng liên quan,
11,Đại tràng hoàn P/H,VD-25946-16,Bài thuốc đại tràng hoàn phối hợp dược liệu,"Điều trị/hỗ trợ viêm đại tràng mạn, rối loạn tiêu hóa, đau bụng, tiêu chảy theo y học cổ truyền",Viêm đại tràng,K52.9,"Viêm dạ dày - ruột và/hoặc viêm đại tràng không do nhiễm trùng, không xác định",
11,Đại tràng hoàn P/H,VD-25946-16,Bài thuốc đại tràng hoàn phối hợp dược liệu,"Điều trị/hỗ trợ viêm đại tràng mạn, rối loạn tiêu hóa, đau bụng, tiêu chảy theo y học cổ truyền",Đau bụng,R10.4,Đau bụng khác và/hoặc không xác định,
11,Đại tràng hoàn P/H,VD-25946-16,Bài thuốc đại tràng hoàn phối hợp dược liệu,"Điều trị/hỗ trợ viêm đại tràng mạn, rối loạn tiêu hóa, đau bụng, tiêu chảy theo y học cổ truyền",Tiêu chảy,A09,Viêm dạ dày - ruột và/hoặc đại tràng do nhiễm trùng và/hoặc không xác định căn nguyên,Có mã 4/5 ký tự cụ thể hơn
11,Đại tràng hoàn P/H,VD-25946-16,Bài thuốc đại tràng hoàn phối hợp dược liệu,"Điều trị/hỗ trợ viêm đại tràng mạn, rối loạn tiêu hóa, đau bụng, tiêu chảy theo y học cổ truyền",Rối loạn tiêu hóa,K30,Rối loạn tiêu hóa chức năng [không do loét],
12,Albuman 20% 200g/l,870410036023,Albumin người,"Giảm thể tích tuần hoàn khi dung dịch tinh thể không đủ; giảm albumin máu có triệu chứng chọn lọc; chọc tháo dịch báng lượng lớn, hội chứng gan-thận theo phác đồ",Sốc giảm thể tích,E86,Giảm thể tích,
12,Albuman 20% 200g/l,870410036023,Albumin người,"Giảm thể tích tuần hoàn khi dung dịch tinh thể không đủ; giảm albumin máu có triệu chứng chọn lọc; chọc tháo dịch báng lượng lớn, hội chứng gan-thận theo phác đồ",Sốc giảm thể tích,R57.1,Sốc giảm thể tích,
12,Albuman 20% 200g/l,870410036023,Albumin người,"Giảm thể tích tuần hoàn khi dung dịch tinh thể không đủ; giảm albumin máu có triệu chứng chọn lọc; chọc tháo dịch báng lượng lớn, hội chứng gan-thận theo phác đồ",Hội chứng gan-thận,K76.7,Hội chứng gan - thận,
12,Albuman 20% 200g/l,870410036023,Albumin người,"Giảm thể tích tuần hoàn khi dung dịch tinh thể không đủ; giảm albumin máu có triệu chứng chọn lọc; chọc tháo dịch báng lượng lớn, hội chứng gan-thận theo phác đồ",Cổ trướng,R18,Chứng cổ trướng,
12,Albuman 20% 200g/l,870410036023,Albumin người,"Giảm thể tích tuần hoàn khi dung dịch tinh thể không đủ; giảm albumin máu có triệu chứng chọn lọc; chọc tháo dịch báng lượng lớn, hội chứng gan-thận theo phác đồ",Giảm albumin máu,R77.0,Bất thường của albumin,
13,Alcaine 0.5%,VN-21093-18,Proparacain,"Gây tê bề mặt giác mạc/kết mạc trước đo nhãn áp, lấy dị vật hoặc thủ thuật mắt",Khám/thủ thuật nhãn khoa,Z01.0,Khám mắt và/hoặc kiểm tra thị lực,
13,Alcaine 0.5%,VN-21093-18,Proparacain,"Gây tê bề mặt giác mạc/kết mạc trước đo nhãn áp, lấy dị vật hoặc thủ thuật mắt",Chăm sóc liên quan gây tê/gây mê/thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
13,Alcaine 0.5%,VN-21093-18,Proparacain,"Gây tê bề mặt giác mạc/kết mạc trước đo nhãn áp, lấy dị vật hoặc thủ thuật mắt",Khám/chẩn đoán hình ảnh,Z01.8,Khám chuyên khoa xác định khác,
14,Alpha - choay,893110342224,Chymotrypsin (alpha-chymotrypsin),"Hỗ trợ giảm phù nề sau chấn thương, phẫu thuật và viêm mô mềm; không thay thế điều trị nguyên nhân",Phù nề,R60.9,"Phù, không xác định",
14,Alpha - choay,893110342224,Chymotrypsin (alpha-chymotrypsin),"Hỗ trợ giảm phù nề sau chấn thương, phẫu thuật và viêm mô mềm; không thay thế điều trị nguyên nhân",Viêm mô mềm,M79.9,"Rối loạn mô mềm, không xác định",Có mã 4/5 ký tự cụ thể hơn
15,Alsiful S.R.Tablets 10mg,VN-22539-20,Alfuzosin,Điều trị triệu chứng đường tiểu dưới do tăng sản lành tính tuyến tiền liệt; hỗ trợ bí tiểu cấp kèm đặt sonde trong một số phác đồ,Bí tiểu,R33,Bí tiểu,
15,Alsiful S.R.Tablets 10mg,VN-22539-20,Alfuzosin,Điều trị triệu chứng đường tiểu dưới do tăng sản lành tính tuyến tiền liệt; hỗ trợ bí tiểu cấp kèm đặt sonde trong một số phác đồ,Tăng sản lành tính tuyến tiền liệt,N40,Phì đại [tăng sản] tuyến tiền liệt,Mã chỉ/chủ yếu ở nam
16,Am-broxol,893100276200,Ambroxol,Long đờm trong bệnh hô hấp có tăng tiết nhầy đặc như viêm phế quản,Viêm phế quản,J40,"Viêm phế quản, không xác định được là cấp tính hoặc mạn tính",
17,Aminazin 1.25%,VD-30228-18,Clorpromazin,"Tâm thần phân liệt, loạn thần; kích động nặng; nấc dai dẳng hoặc buồn nôn trong một số chỉ định",Tâm thần phân liệt,F20.9,"Tâm thần phân liệt, không xác định",
17,Aminazin 1.25%,VD-30228-18,Clorpromazin,"Tâm thần phân liệt, loạn thần; kích động nặng; nấc dai dẳng hoặc buồn nôn trong một số chỉ định",Loạn thần,F29,Loạn thần không thực tổn không xác định,
17,Aminazin 1.25%,VD-30228-18,Clorpromazin,"Tâm thần phân liệt, loạn thần; kích động nặng; nấc dai dẳng hoặc buồn nôn trong một số chỉ định",Nấc,R06.6,Nấc cụt,
17,Aminazin 1.25%,VD-30228-18,Clorpromazin,"Tâm thần phân liệt, loạn thần; kích động nặng; nấc dai dẳng hoặc buồn nôn trong một số chỉ định",Kích động,R45.1,Tình trạng bứt rứt [không yên] và/hoặc kích động,
17,Aminazin 1.25%,VD-30228-18,Clorpromazin,"Tâm thần phân liệt, loạn thần; kích động nặng; nấc dai dẳng hoặc buồn nôn trong một số chỉ định",Buồn nôn/nôn,R11,Buồn nôn và/hoặc nôn,
18,Amiparen 10%,893110453623,Dung dịch acid amin dùng đường tĩnh mạch,Cung cấp acid amin trong dinh dưỡng ngoài đường tiêu hóa khi đường tiêu hóa không sử dụng được hoặc không đủ,Suy dinh dưỡng hoặc không thể nuôi dưỡng đường tiêu hóa,E46,Suy dinh dưỡng do thiếu protein - năng lượng không xác định,
19,Amlodipine 5 mg Cap,VD-35752-22,Amlodipin,Tăng huyết áp | đau thắt ngực ổn định hoặc đau thắt ngực do co thắt mạch vành,Tăng huyết áp,I10,Bệnh tăng huyết áp vô căn (nguyên phát),
19,Amlodipine 5 mg Cap,VD-35752-22,Amlodipin,Tăng huyết áp | đau thắt ngực ổn định hoặc đau thắt ngực do co thắt mạch vành,Đau thắt ngực,I20.9,"Cơn đau thắt ngực, không xác định",
19,Amlodipine 5 mg Cap,VD-35752-22,Amlodipin,Tăng huyết áp | đau thắt ngực ổn định hoặc đau thắt ngực do co thắt mạch vành,Đau thắt ngực do co thắt mạch vành,I20.1,Cơn đau thắt ngực có bằng chứng co thắt động mạch vành,
20,"ANAROPIN 5mg/ml (0,5%)",VN-19004-15,Ropivacain,"Gây tê vùng, phong bế thần kinh ngoại vi, ngoài màng cứng và giảm đau sau phẫu thuật",Chăm sóc liên quan gây tê vùng/thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
20,"ANAROPIN 5mg/ml (0,5%)",VN-19004-15,Ropivacain,"Gây tê vùng, phong bế thần kinh ngoại vi, ngoài màng cứng và giảm đau sau phẫu thuật",Đau sau phẫu thuật,R52.9,"Đau, không xác định",
21,Aspirin tab DWP 100mg,893110251524,Acid acetylsalicylic,"Dự phòng thứ phát biến cố tim mạch, hội chứng vành cấp, sau can thiệp mạch vành hoặc đột quỵ thiếu máu cục bộ theo chỉ định",Hội chứng vành cấp,I24.9,"Bệnh tim do thiếu máu cục bộ cấp tính, không xác định",
21,Aspirin tab DWP 100mg,893110251524,Acid acetylsalicylic,"Dự phòng thứ phát biến cố tim mạch, hội chứng vành cấp, sau can thiệp mạch vành hoặc đột quỵ thiếu máu cục bộ theo chỉ định",Đột quỵ thiếu máu não,I63.9,"Nhồi máu não, không xác định",
22,Atoris 10mg,VN-18272-14,Atorvastatin,Tăng cholesterol máu; dự phòng tiên phát và thứ phát bệnh tim mạch do xơ vữa,Bệnh động mạch vành,I25.1,Bệnh tim mạch do xơ vữa động mạch,
22,Atoris 10mg,VN-18272-14,Atorvastatin,Tăng cholesterol máu; dự phòng tiên phát và thứ phát bệnh tim mạch do xơ vữa,Tăng cholesterol máu,E78.0,Tăng cholesterol máu đơn thuần,
22,Atoris 10mg,VN-18272-14,Atorvastatin,Tăng cholesterol máu; dự phòng tiên phát và thứ phát bệnh tim mạch do xơ vữa,Tăng cholesterol máu,E78.5,"Tăng lipid máu, không xác định",
23,Atropin Sulphat,VD-24376-16,Atropin,Nhịp chậm có triệu chứng; ngộ độc phospho hữu cơ/carbamat; giảm tiết trước mê; phối hợp neostigmin,Nhịp chậm,R00.1,"Nhịp tim chậm, không xác định",
23,Atropin Sulphat,VD-24376-16,Atropin,Nhịp chậm có triệu chứng; ngộ độc phospho hữu cơ/carbamat; giảm tiết trước mê; phối hợp neostigmin,Ngộ độc phospho hữu cơ/carbamat,T60.0,Tác động độc hại của thuốc trừ sâu organophosphate và/hoặc carbamate,
24,Axuka,594110072523,Amoxicilin + acid clavulanic,"Nhiễm khuẩn hô hấp, tai-mũi-họng, tiết niệu, da-mô mềm, răng-hàm-mặt, xương khớp hoặc ổ bụng do vi khuẩn nhạy cảm",Nhiễm khuẩn hô hấp trên,J06.9,"Nhiễm trùng đường hô hấp trên cấp tính, không xác định",
24,Axuka,594110072523,Amoxicilin + acid clavulanic,"Nhiễm khuẩn hô hấp, tai-mũi-họng, tiết niệu, da-mô mềm, răng-hàm-mặt, xương khớp hoặc ổ bụng do vi khuẩn nhạy cảm","Nhiễm khuẩn hô hấp dưới, chưa xác định vị trí",J22,Nhiễm trùng hô hấp dưới cấp tính không xác định,
24,Axuka,594110072523,Amoxicilin + acid clavulanic,"Nhiễm khuẩn hô hấp, tai-mũi-họng, tiết niệu, da-mô mềm, răng-hàm-mặt, xương khớp hoặc ổ bụng do vi khuẩn nhạy cảm",Viêm xương tủy,M86.9,"Viêm xương tủy, không xác định",Có mã 4/5 ký tự cụ thể hơn
24,Axuka,594110072523,Amoxicilin + acid clavulanic,"Nhiễm khuẩn hô hấp, tai-mũi-họng, tiết niệu, da-mô mềm, răng-hàm-mặt, xương khớp hoặc ổ bụng do vi khuẩn nhạy cảm",Viêm phúc mạc/nhiễm khuẩn ổ bụng,K65.9,"Viêm phúc mạc, không xác định",
24,Axuka,594110072523,Amoxicilin + acid clavulanic,"Nhiễm khuẩn hô hấp, tai-mũi-họng, tiết niệu, da-mô mềm, răng-hàm-mặt, xương khớp hoặc ổ bụng do vi khuẩn nhạy cảm",Nhiễm khuẩn tiết niệu,N39.0,"Nhiễm trùng đường tiết niệu, vị trí không xác định",
24,Axuka,594110072523,Amoxicilin + acid clavulanic,"Nhiễm khuẩn hô hấp, tai-mũi-họng, tiết niệu, da-mô mềm, răng-hàm-mặt, xương khớp hoặc ổ bụng do vi khuẩn nhạy cảm",Nhiễm khuẩn da và mô mềm,L08.9,"Nhiễm trùng khu trú ở da và/hoặc mô dưới da, không xác định",
25,AYITE,VD-20520-14,Rebamipid,Loét dạ dày; viêm niêm mạc dạ dày cấp hoặc đợt cấp viêm dạ dày mạn,Loét dạ dày,K25.9,"Loét dạ dày, không xác định mạn tính hoặc cấp tính, không xuất huyết hoặc thủng",
25,AYITE,VD-20520-14,Rebamipid,Loét dạ dày; viêm niêm mạc dạ dày cấp hoặc đợt cấp viêm dạ dày mạn,Viêm dạ dày,K29.7,"Viêm dạ dày, không xác định",
26,Baci-subti,893400647624,Bacillus subtilis,"Hỗ trợ phục hồi hệ vi sinh đường ruột trong tiêu chảy hoặc rối loạn tiêu hóa, nhất là liên quan kháng sinh",Tiêu chảy,A09,Viêm dạ dày - ruột và/hoặc đại tràng do nhiễm trùng và/hoặc không xác định căn nguyên,Có mã 4/5 ký tự cụ thể hơn
26,Baci-subti,893400647624,Bacillus subtilis,"Hỗ trợ phục hồi hệ vi sinh đường ruột trong tiêu chảy hoặc rối loạn tiêu hóa, nhất là liên quan kháng sinh",Rối loạn tiêu hóa,K30,Rối loạn tiêu hóa chức năng [không do loét],
27,Benita,893100314323,Budesonid,Viêm mũi dị ứng với dạng xịt; kiểm soát hen với dạng hít/khí dung; không dùng đơn độc cắt cơn hen cấp,Hen phế quản,J45.9,"Hen phế quản [hen suyễn] [hen], không xác định",
27,Benita,893100314323,Budesonid,Viêm mũi dị ứng với dạng xịt; kiểm soát hen với dạng hít/khí dung; không dùng đơn độc cắt cơn hen cấp,Viêm mũi dị ứng,J30.4,"Viêm mũi dị ứng, không xác định",
27,Benita,893100314323,Budesonid,Viêm mũi dị ứng với dạng xịt; kiểm soát hen với dạng hít/khí dung; không dùng đơn độc cắt cơn hen cấp,Viêm mũi,J31.0,Viêm mũi mạn tính,
28,Benzathin benzylpenicilin 1.200.000 IU,VD-29207-18,Benzathin benzylpenicilin,Giang mai; dự phòng tái phát thấp tim; nhiễm liên cầu chỉ định đặc hiệu cần penicillin tác dụng kéo dài,Bệnh tim do thấp,I09.9,"Bệnh thấp tim, không xác định",
28,Benzathin benzylpenicilin 1.200.000 IU,VD-29207-18,Benzathin benzylpenicilin,Giang mai; dự phòng tái phát thấp tim; nhiễm liên cầu chỉ định đặc hiệu cần penicillin tác dụng kéo dài,Giang mai,A53.9,"Bệnh giang mai, không xác định",
28,Benzathin benzylpenicilin 1.200.000 IU,VD-29207-18,Benzathin benzylpenicilin,Giang mai; dự phòng tái phát thấp tim; nhiễm liên cầu chỉ định đặc hiệu cần penicillin tác dụng kéo dài,Nhiễm liên cầu,A49.1,"Nhiễm khuẩn liên cầu và/hoặc enterococcal, vị trí không xác định",
29,Bestdocel 20mg/1ml,893114114823,Docetaxel,"Ung thư vú, phổi, tiền liệt tuyến, dạ dày và đầu-cổ theo phác đồ",Ung thư vú,C50.9,"U ác tính ở vú, không xác định",
29,Bestdocel 20mg/1ml,893114114823,Docetaxel,"Ung thư vú, phổi, tiền liệt tuyến, dạ dày và đầu-cổ theo phác đồ",Ung thư tuyến tiền liệt,C61,U ác tính ở tuyến tiền liệt,Mã chỉ/chủ yếu ở nam
29,Bestdocel 20mg/1ml,893114114823,Docetaxel,"Ung thư vú, phổi, tiền liệt tuyến, dạ dày và đầu-cổ theo phác đồ",Ung thư đầu-cổ,C76.0,"U ác tính ở vị trí khác và/hoặc không rõ ràng ở đầu, mặt và/hoặc cổ",
30,Bestdocel 80mg/4ml,QLĐB-767-19,Docetaxel,"Ung thư vú, phổi, tiền liệt tuyến, dạ dày và đầu-cổ theo phác đồ",Ung thư vú,C50.9,"U ác tính ở vú, không xác định",
30,Bestdocel 80mg/4ml,QLĐB-767-19,Docetaxel,"Ung thư vú, phổi, tiền liệt tuyến, dạ dày và đầu-cổ theo phác đồ",Ung thư tuyến tiền liệt,C61,U ác tính ở tuyến tiền liệt,Mã chỉ/chủ yếu ở nam
30,Bestdocel 80mg/4ml,QLĐB-767-19,Docetaxel,"Ung thư vú, phổi, tiền liệt tuyến, dạ dày và đầu-cổ theo phác đồ",Ung thư đầu-cổ,C76.0,"U ác tính ở vị trí khác và/hoặc không rõ ràng ở đầu, mặt và/hoặc cổ",
31,Betaloc Zok 50mg,730110022123,Metoprolol,Tăng huyết áp | đau thắt ngực; suy tim mạn ổn định; kiểm soát tần số tim và sau nhồi máu cơ tim,Tăng huyết áp,I10,Bệnh tăng huyết áp vô căn (nguyên phát),
31,Betaloc Zok 50mg,730110022123,Metoprolol,Tăng huyết áp | đau thắt ngực; suy tim mạn ổn định; kiểm soát tần số tim và sau nhồi máu cơ tim,Đau thắt ngực,I20.9,"Cơn đau thắt ngực, không xác định",
31,Betaloc Zok 50mg,730110022123,Metoprolol,Tăng huyết áp | đau thắt ngực; suy tim mạn ổn định; kiểm soát tần số tim và sau nhồi máu cơ tim,Nhồi máu cơ tim,I21.9,"Nhồi máu cơ tim cấp tính, không xác định",
31,Betaloc Zok 50mg,730110022123,Metoprolol,Tăng huyết áp | đau thắt ngực; suy tim mạn ổn định; kiểm soát tần số tim và sau nhồi máu cơ tim,Tiền sử nhồi máu cơ tim,I25.2,Nhồi máu cơ tim cũ,
31,Betaloc Zok 50mg,730110022123,Metoprolol,Tăng huyết áp | đau thắt ngực; suy tim mạn ổn định; kiểm soát tần số tim và sau nhồi máu cơ tim,Suy tim,I50.9,"Suy tim, không xác định",
32,BFS-Adenosin,893110433024,Adenosin,Chẩn đoán và cắt cơn nhịp nhanh kịch phát trên thất phụ thuộc nút nhĩ thất,Nhịp nhanh trên thất,I47.1,Nhịp nhanh trên thất,
33,BFS - Amiron,VD-28871-18,Amiodaron,Loạn nhịp thất đe dọa tính mạng; rung nhĩ/nhịp nhanh trên thất khi các lựa chọn khác không phù hợp,Rung nhĩ,I48.9,"Rung nhĩ và/hoặc cuồng nhĩ, không xác định",
33,BFS - Amiron,VD-28871-18,Amiodaron,Loạn nhịp thất đe dọa tính mạng; rung nhĩ/nhịp nhanh trên thất khi các lựa chọn khác không phù hợp,Nhịp nhanh trên thất,I47.1,Nhịp nhanh trên thất,
33,BFS - Amiron,VD-28871-18,Amiodaron,Loạn nhịp thất đe dọa tính mạng; rung nhĩ/nhịp nhanh trên thất khi các lựa chọn khác không phù hợp,Loạn nhịp thất,I47.2,Nhịp nhanh thất,
34,BFS-Naloxone,VD-23379-15,Naloxon,Đảo ngược ức chế hô hấp hoặc TKTW do opioid; chẩn đoán ngộ độc opioid,Ngộ độc opioid,T40.2,Ngộ độc thuốc có nguồn gốc thuốc phiện khác,
35,BFS-Neostigmine 0.25,893114703224,Neostigmin,Đảo ngược thuốc giãn cơ không khử cực | điều trị nhược cơ; liệt ruột/bí tiểu chọn lọc,Nhược cơ,G70.0,Nhược cơ [rối loạn thần kinh - cơ tự miễn],
35,BFS-Neostigmine 0.25,893114703224,Neostigmin,Đảo ngược thuốc giãn cơ không khử cực | điều trị nhược cơ; liệt ruột/bí tiểu chọn lọc,Liệt ruột,K56.0,Liệt ruột,
35,BFS-Neostigmine 0.25,893114703224,Neostigmin,Đảo ngược thuốc giãn cơ không khử cực | điều trị nhược cơ; liệt ruột/bí tiểu chọn lọc,Bí tiểu,R33,Bí tiểu,
36,BFS-Nicardipin,893110151024,Nicardipin,Tăng huyết áp cấp cứu hoặc kiểm soát huyết áp quanh phẫu thuật khi cần thuốc truyền tĩnh mạch,Tăng huyết áp,I10,Bệnh tăng huyết áp vô căn (nguyên phát),
37,Bipp Zinc powder,893100198224,Kẽm gluconat,Phòng/điều trị thiếu kẽm; hỗ trợ điều trị tiêu chảy cấp ở trẻ em theo hướng dẫn,Tiêu chảy,A09,Viêm dạ dày - ruột và/hoặc đại tràng do nhiễm trùng và/hoặc không xác định căn nguyên,Có mã 4/5 ký tự cụ thể hơn
37,Bipp Zinc powder,893100198224,Kẽm gluconat,Phòng/điều trị thiếu kẽm; hỗ trợ điều trị tiêu chảy cấp ở trẻ em theo hướng dẫn,Thiếu kẽm,E60,Thiếu kẽm do chế độ ăn,
38,Biseptol 480,VN-23059-22,Sulfamethoxazol + trimethoprim,"Nhiễm khuẩn tiết niệu, hô hấp chọn lọc, da do MRSA cộng đồng, tiêu hóa | điều trị/dự phòng Pneumocystis; nocardiosis",Nhiễm khuẩn tiết niệu,N39.0,"Nhiễm trùng đường tiết niệu, vị trí không xác định",
38,Biseptol 480,VN-23059-22,Sulfamethoxazol + trimethoprim,"Nhiễm khuẩn tiết niệu, hô hấp chọn lọc, da do MRSA cộng đồng, tiêu hóa | điều trị/dự phòng Pneumocystis; nocardiosis",Nhiễm khuẩn da và mô mềm,L08.9,"Nhiễm trùng khu trú ở da và/hoặc mô dưới da, không xác định",
38,Biseptol 480,VN-23059-22,Sulfamethoxazol + trimethoprim,"Nhiễm khuẩn tiết niệu, hô hấp chọn lọc, da do MRSA cộng đồng, tiêu hóa | điều trị/dự phòng Pneumocystis; nocardiosis",Nhiễm Pneumocystis,B48.5†,Bệnh nhiễm nấm pneumocystis,
